Reference	Year	DOI	PMID	Category	File Address
"Molecular cloning and functional expression of cDNA encoding a second class of inward rectifier potassium channels in the mouse brain. (Takahashi N; Morishige K; Jahangir A; Yamada M; Findlay I; Koyama H; Kurachi Y. J. Biol. Chem., 269(37):23274-9)"	1994		8083233	Electrophysiology	http://www.jbc.org/content/269/37/23274.long
"Cloning and functional expression of an inwardly rectifying K+ channel from human atrium. (Wible BA; De Biasi M; Majumder K; Taglialatela M; Brown AM. Circ. Res., 76(3):343-50)"	1995		7859381	Electrophysiology	
"Human cardiac inwardly rectifying current IKir2.2 is upregulated by activation of protein kinase A. (Zitron E; Kiesecker C; LÌ_ck S; KathÌ¦fer S; Thomas D; Kreye VA; Kiehn J; Katus HA; Schoels W; Karle CA. Cardiovasc. Res., 63(3):520-7)"	2004	10.1016/j.cardiores.2004.02.015	15276477	Electrophysiology	http://cardiovascres.oxfordjournals.org/content/63/3/520
"Primary structure and characterization of a small-conductance inwardly rectifying potassium channel from human hippocampus. (PÌ©rier F; Radeke CM; Vandenberg CA. Proc. Natl. Acad. Sci. U.S.A., 91(13):6240-4)"	1994		8016146	Electrophysiology	http://www.pnas.org/content/91/13/6240.long
"Molecular cloning and functional expression of a novel brain-specific inward rectifier potassium channel. (Morishige K; Takahashi N; Jahangir A; Yamada M; Koyama H; Zanelli JS; Kurachi Y. FEBS Lett., 346(2-3):251-6)"	1994	10.1016/0014-5793(94)00483-8	8013643	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(94)00483-8/pdf
"Kir2.4: a novel K+ inward rectifier channel associated with motoneurons of cranial nerve nuclei. (TÌ¦pert C; DÌ¦ring F; Wischmeyer E; Karschin C; Brockhaus J; Ballanyi K; Derst C; Karschin A. J. Neurosci., 18(11):4096-105)"	1998		9592090	Electrophysiology	http://www.jneurosci.org/content/18/11/4096
"Primary structure and functional expression of a rat G-protein-coupled muscarinic potassium channel. (Kubo Y; Reuveny E; Slesinger PA; Jan YN; Jan LY. Nature, 364(6440):802-6)"	1993	10.1038/364802a0	8355805	Electrophysiology	
"Subunit positional effects revealed by novel heteromeric inwardly rectifying K+ channels. (Pessia M; Tucker SJ; Lee K; Bond CT; Adelman JP. EMBO J., 15(12):2980-7)"	1996		8670799	Genomics	
"A novel ATP-dependent inward rectifier potassium channel expressed predominantly in glial cells. (Takumi T; Ishii T; Horio Y; Morishige K; Takahashi N; Yamada M; Yamashita T; Kiyama H; Sohmiya K; Nakanishi S. J. Biol. Chem., 270(27):16339-46)"	1995	10.1074/jbc.270.27.16339	7608203	Electrophysiology	http://www.jbc.org/content/270/27/16339.long
"Differential pH sensitivity of Kir4.1 and Kir4.2 potassium channels and their modulation by heteropolymerisation with Kir5.1. (Pessia M; Imbrici P; D'Adamo MC; Salvatore L; Tucker SJ. J. Physiol. (Lond.), 532(Pt 2):359-67)"	2001		11306656	Electrophysiology	
"Expression of a functional Kir4 family inward rectifier K+ channel from a gene cloned from mouse liver. (Pearson WL; Dourado M; Schreiber M; Salkoff L; Nichols CG. J. Physiol. (Lond.), 514 ( Pt 3):639-53)"	1999	10.1111/j.1469-7793.1999.639ad.x	9882736	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1111/j.1469-7793.1999.639ad.x/full
"pH dependence of the inwardly rectifying potassium channel, Kir5.1, and localization in renal tubular epithelia. (Tucker SJ; Imbrici P; Salvatore L; D'Adamo MC; Pessia M. J. Biol. Chem., 275(22):16404-7)"	2000	10.1074/jbc.C000127200	10764726	Electrophysiology	http://www.jbc.org/content/275/22/16404.long
"Cellular localization of the potassium channel Kir7.1 in guinea pig and human kidney. (Derst C; Hirsch JR; Preisig-MÌ_ller R; Wischmeyer E; Karschin A; DÌ¦ring F; Thomzig A; Veh RW; Schlatter E; Kummer W; Daut J. Kidney Int., 59(6):2197-205)"	2001	10.1046/j.1523-1755.2001.00735.x	11380822	Electrophysiology	http://www.sciencedirect.com/science/article/pii/S0085253815477142
"The epithelial inward rectifier channel Kir7.1 displays unusual K+ permeation properties. (DÌ¦ring F; Derst C; Wischmeyer E; Karschin C; Schneggenburger R; Daut J; Karschin A. J. Neurosci., 18(21):8625-36)"	1998		9786970	Electrophysiology	http://www.jneurosci.org/content/18/21/8625.long
"Mutants of a temperature-sensitive two-P domain potassium channel. (Kunkel MT; Johnstone DB; Thomas JH; Salkoff L. J. Neurosci., 20(20):7517-24)"	2000		11027209	Electrophysiology	http://jneurosci.org/content/20/20/7517.long
"Sumoylation silences the plasma membrane leak K+ channel K2P1. (Rajan S; Plant LD; Rabin ML; Butler MH; Goldstein SA. Cell, 121(1):37-47)"	2005	10.1016/j.cell.2005.01.019	15820677	Electrophysiology	http://www.cell.com/cell/fulltext/S0092-8674(05)00093-0
"Regulation of two-pore-domain (K2P) potassium leak channels by the tyrosine kinase inhibitor genistein. (Gierten J; Ficker E; Bloehs R; SchlÌ¦mer K; KathÌ¦fer S; Scholz E; Zitron E; Kiesecker C; Bauer A; Becker R; Katus HA; Karle CA; Thomas D. Br. J. Pharmacol., 154(8):1680-90)"	2008	10.1038/bjp.2008.213	18516069	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2518462/
"SLO-1 potassium channels control quantal content of neurotransmitter release at the C. elegans neuromuscular junction. (Wang ZW; Saifee O; Nonet ML; Salkoff L. Neuron, 32(5):867-81)"	2001	10.1016/S0896-6273(01)00522-0	11738032	Electrophysiology	http://www.cell.com/neuron/fulltext/S0896-6273(01)00522-0
"Characterization of the Ca2+-gated and voltage-dependent K+-channel Slo-1 of nematodes and its interaction with emodepside. (Kulke D; von Samson-Himmelstjerna G; Miltsch SM; Wolstenholme AJ; Jex AR; Gasser RB; Ballesteros C; Geary TG; Keiser J; Townson S; Harder A; KrÌ_cken J. PLoS Negl Trop Dis, 8(12):e3401)"	2014	10.1371/journal.pntd.0003401	25521608	Electrophysiology	
"TWIK-1, a ubiquitous human weakly inward rectifying K+ channel with a novel structure. (Lesage F; Guillemare E; Fink M; Duprat F; Lazdunski M; Romey G; Barhanin J. EMBO J., 15(5):1004-11)"	1996		8605869	Genomics	
"Some intestinal parasites of Arctic fox, Banks Island, N. W. T. (Eaton RD; Secord DC. Can. J. Comp. Med., 43(2):229-30)"	1979		497890	Genomics	
"DiChiara, T J, Reinhart, P H, (1995), Distinct effects of Ca2+ and voltage on the activation and deactivation of cloned Ca(2+)-activated K+ channels.. The Journal of Physiology, 489 doi: 10.1113/jphysiol.1995.sp021061."	1995	10.1113/jphysiol.1995.sp021061	8847636	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1113/jphysiol.1995.sp021061/epdf
"Cloning, expression, and distribution of functionally distinct Ca(2+)-activated K+ channel isoforms from human brain. (Tseng-Crank J; Foster CD; Krause JD; Mertz R; Godinot N; DiChiara TJ; Reinhart PH. Neuron, 13(6):1315-30)"	1994	10.1016/0896-6273(94)90418-9	7993625	Electrophysiology	
"mSlo, a complex mouse gene encoding ""maxi"" calcium-activated potassium channels. (Butler A; Tsunoda S; McCobb DP; Wei A; Salkoff L. Science, 261(5118):221-4)"	1993	10.1126/science.7687074	7687074	Electrophysiology	
"SLO-2, a K+ channel with an unusual Cl- dependence. (Yuan A; Dourado M; Butler A; Walton N; Wei A; Salkoff L. Nat. Neurosci., 3(8):771-9)"	2000	10.1038/77670	10903569	Electrophysiology	
"SLO-2 isoforms with unique Ca(2+) - and voltage-dependence characteristics confer sensitivity to hypoxia in C. elegans. (Zhang Z; Tang QY; Alaimo JT; Davies AG; Bettinger JC; Logothetis DE. Channels (Austin), 7(3):194-205)"	2013	10.4161/chan.24492	23590941	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3710346/
"Formation of intermediate-conductance calcium-activated potassium channels by interaction of Slack and Slo subunits. (Joiner WJ; Tang MD; Wang LY; Dworetzky SI; Boissard CG; Gan L; Gribkoff VK; Kaczmarek LK. Nat. Neurosci., 1(6):462-9)"	1998	10.1038/2176	10196543	Electrophysiology	
"The sodium-activated potassium channel is encoded by a member of the Slo gene family. (Yuan A; Santi CM; Wei A; Wang ZW; Pollak K; Nonet M; Kaczmarek L; Crowder CM; Salkoff L. Neuron, 37(5):765-73)"	2003	10.1016/S0896-6273(03)00096-5	12628167	Electrophysiology	http://www.cell.com/neuron/fulltext/S0896-6273(03)00096-5
"Opposite regulation of Slick and Slack K+ channels by neuromodulators. (Santi CM; Ferreira G; Yang B; Gazula VR; Butler A; Wei A; Kaczmarek LK; Salkoff L. J. Neurosci., 26(19):5059-68)"	2006	10.1523/JNEUROSCI.3372-05.2006	16687497	Electrophysiology	http://www.jneurosci.org/content/26/19/5059.long
"Slo3 K+ channels: voltage and pH dependence of macroscopic currents. (Zhang X; Zeng X; Lingle CJ. J. Gen. Physiol., 128(3):317-36)"	2006	10.1085/jgp.200609552	16940555	Electrophysiology	
"Slo3, a novel pH-sensitive K+ channel from mammalian spermatocytes. (Schreiber M; Wei A; Yuan A; Gaut J; Saito M; Salkoff L. J. Biol. Chem., 273(6):3509-16)"	1998	10.1074/jbc.273.6.3509	9452476	Electrophysiology	http://www.jbc.org/content/273/6/3509.long
"Small-conductance, calcium-activated potassium channels from mammalian brain. (KÌ¦hler M; Hirschberg B; Bond CT; Kinzie JM; Marrion NV; Maylie J; Adelman JP. Science, 273(5282):1709-14)"	1996	10.1126/science.273.5282.1709	8781233	Electrophysiology	
"A human intermediate conductance calcium-activated potassium channel. (Ishii TM; Silvia C; Hirschberg B; Bond CT; Adelman JP; Maylie J. Proc. Natl. Acad. Sci. U.S.A., 94(21):11651-6)"	1997		9326665	Electrophysiology	http://www.pnas.org/content/94/21/11651.long
"Primary structure of the receptor for calcium channel blockers from skeletal muscle. (Tanabe T; Takeshima H; Mikami A; Flockerzi V; Takahashi H; Kangawa K; Kojima M; Matsuo H; Hirose T; Numa S. Nature, 328(6128):313-8)"	1987	10.1038/328313a0	3037387	Genomics	
"Effects of mutations causing hypokalaemic periodic paralysis on the skeletal muscle L-type Ca2+ channel expressed in Xenopus laevis oocytes. (Morrill JA; Cannon SC. J. Physiol. (Lond.), 520 Pt 2:321-36)"	1999	10.1111/j.1469-7793.1999.00321.x	10523403	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1111/j.1469-7793.1999.00321.x/full
"Primary structure and functional expression of a high voltage activated calcium channel from rabbit lung. (Biel M; Ruth P; Bosse E; Hullin R; StÌ_hmer W; Flockerzi V; Hofmann F. FEBS Lett., 269(2):409-12)"	1990	10.1016/0014-5793(90)81205-3	2169433	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(90)81205-3/epdf
"Atherosclerosis-related molecular alteration of the human CaV1.2 calcium channel alpha1C subunit. (Tiwari S; Zhang Y; Heller J; Abernethy DR; Soldatov NM. Proc. Natl. Acad. Sci. U.S.A., 103(45):17024-9)"	2006	10.1073/pnas.0606539103	17071743	Genomics	
"Cloning, chromosomal localization, and functional expression of the alpha 1 subunit of the L-type voltage-dependent calcium channel from normal human heart. (Schultz D; Mikala G; Yatani A; Engle DB; Iles DE; Segers B; Sinke RJ; Weghuis DO; KlÌ¦ckner U; Wakamori M. Proc. Natl. Acad. Sci. U.S.A., 90(13):6228-32)"	1993		8392192	Electrophysiology	http://www.pnas.org/content/90/13/6228.long
"Neuronal Ca(V)1.3alpha(1) L-type channels activate at relatively hyperpolarized membrane potentials and are incompletely inhibited by dihydropyridines. (Xu W; Lipscombe D. J. Neurosci., 21(16):5944-51)"	2001		11487617	Electrophysiology	http://www.jneurosci.org/content/jneuro/21/16/5944.full.pdf
"Congenital stationary night blindness type 2 mutations S229P, G369D, L1068P, and W1440X alter channel gating or functional expression of Ca(v)1.4 L-type Ca2+ channels. (Hoda JC; Zaghetto F; Koschak A; Striessnig J. J. Neurosci., 25(1):252-9)"	2005	10.1523/JNEUROSCI.3054-04.2005	15634789	Electrophysiology	
"Cav1.4 encodes a calcium channel with low open probability and unitary conductance. (Doering CJ; Hamid J; Simms B; McRory JE; Zamponi GW. Biophys. J., 89(5):3042-8)"	2005	10.1529/biophysj.105.067124	16085774	Electrophysiology	
"Effects of congenital stationary night blindness type 2 mutations R508Q and L1364H on Cav1.4 L-type Ca2+ channel function and expression. (Hoda JC; Zaghetto F; Singh A; Koschak A; Striessnig J. J. Neurochem., 96(6):1648-58)"	2006	10.1111/j.1471-4159.2006.03678.x	16476079	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2006.03678.x/full
"Splicing of alpha 1A subunit gene generates phenotypic variants of P- and Q-type calcium channels. (Bourinet E; Soong TW; Sutton K; Slaymaker S; Mathews E; Monteil A; Zamponi GW; Nargeot J; Snutch TP. Nat. Neurosci., 2(5):407-15)"	1999	10.1038/8070	10321243	Electrophysiology	
"Primary structure of a calcium channel that is highly expressed in the rat cerebellum. (Starr TV; Prystay W; Snutch TP. Proc. Natl. Acad. Sci. U.S.A., 88(13):5621-5)"	1991		1648226	Genomics	
"Localization and functional properties of a rat brain alpha 1A calcium channel reflect similarities to neuronal Q- and P-type channels. (Stea A; Tomlinson WJ; Soong TW; Bourinet E; Dubel SJ; Vincent SR; Snutch TP. Proc. Natl. Acad. Sci. U.S.A., 91(22):10576-80)"	1994		7524096	Electrophysiology	http://www.pnas.org/content/91/22/10576.long
"Identification of functionally distinct isoforms of the N-type Ca2+ channel in rat sympathetic ganglia and brain. (Lin Z; Haus S; Edgerton J; Lipscombe D. Neuron, 18(1):153-66)"	1997		9010213	Electrophysiology	
"Molecular cloning of the alpha-1 subunit of an omega-conotoxin-sensitive calcium channel. (Dubel SJ; Starr TV; Hell J; Ahlijanian MK; Enyeart JJ; Catterall WA; Snutch TP. Proc. Natl. Acad. Sci. U.S.A., 89(11):5058-62)"	1992		1317580	Genomics	
"Electrophysiological and molecular evidence of L-(Cav1), N- (Cav2.2), and R- (Cav2.3) type Ca2+ channels in rat cortical astrocytes. (D'Ascenzo M; Vairano M; Andreassi C; Navarra P; Azzena GB; Grassi C. Glia, 45(4):354-63)"	2004	10.1002/glia.10336	14966867	Electrophysiology	
"Overexpressed Ca(v)beta3 inhibits N-type (Cav2.2) calcium channel currents through a hyperpolarizing shift of ultra-slow and closed-state inactivation. (Yasuda T; Lewis RJ; Adams DJ. J. Gen. Physiol., 123(4):401-16)"	2004	10.1085/jgp.200308967	15024042	Electrophysiology	http://jgp.rupress.org/content/123/4/401.long
"Molecular analysis and functional expression of the human type E neuronal Ca2+ channel alpha 1 subunit. (Schneider T; Wei X; Olcese R; Costantin JL; Neely A; Palade P; Perez-Reyes E; Qin N; Zhou J; Crawford GD. Recept. Channels, 2(4):255-70)"	1994		7536609	Electrophysiology	
"Subunit regulation of the human brain alpha 1E calcium channel. (Parent L; Schneider T; Moore CP; Talwar D. J. Membr. Biol., 160(2):127-40)"	1997	10.1007/s002329900302	9354705	Electrophysiology	
"Molecular characterization of a neuronal low-voltage-activated T-type calcium channel. (Perez-Reyes E; Cribbs LL; Daud A; Lacerda AE; Barclay J; Williamson MP; Fox M; Rees M; Lee JH. Nature, 391(6670):896-900)"	1998	10.1038/36110	9495342	Genomics	
"Structure and functional expression of a member of the low voltage-activated calcium channel family. (Soong TW; Stea A; Hodson CD; Dubel SJ; Vincent SR; Snutch TP. Science, 260(5111):1133-6)"	1993	10.1126/science.8388125	8388125	Electrophysiology	
"Molecular and functional properties of the human alpha(1G) subunit that forms T-type calcium channels. (Monteil A; Chemin J; Bourinet E; Mennessier G; Lory P; Nargeot J. J. Biol. Chem., 275(9):6090-100)"	2000		10692398	Electrophysiology	
"Cloning and characterization of alpha1H from human heart, a member of the T-type Ca2+ channel gene family. (Cribbs LL; Lee JH; Yang J; Satin J; Zhang Y; Daud A; Barclay J; Williamson MP; Fox M; Rees M; Perez-Reyes E. Circ. Res., 83(1):103-9)"	1998		9670923	Electrophysiology	
"New orally effective chromosome derivatives for the treatment of asthma. (Augstein J; Cairns H; Hunter D; Lee TB; Suschitzky J; Altounyan RE; Jackson DM; Mann J; Orr TS; Sheard P. Agents Actions, 7(4):443-5)"	1977		930755	Genomics	
"ZnT-1 enhances the activity and surface expression of T-type calcium channels through activation of Ras-ERK signaling. (Mor M; Beharier O; Levy S; Kahn J; Dror S; Blumenthal D; Gheber LA; Peretz A; Katz A; Moran A; Etzion Y. Am. J. Physiol., Cell Physiol., 303(2):C192-203)"	2012	10.1152/ajpcell.00427.2011	22572848	Electrophysiology	http://ajpcell.physiology.org/content/303/2/C192.long
"Nickel block of three cloned T-type calcium channels: low concentrations selectively block alpha1H. (Lee JH; Gomora JC; Cribbs LL; Perez-Reyes E. Biophys. J., 77(6):3034-42)"	1999	10.1016/S0006-3495(99)77134-1	10585925	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1300574/pdf/10585925.pdf
"Ca-ë±1T, a fly T-type Ca2+ channel, negatively modulates sleep. (Jeong K; Lee S; Seo H; Oh Y; Jang D; Choe J; Kim D; Lee JH; Jones WD. Sci Rep, 5:17893)"	2015	10.1038/srep17893	26647714	Electrophysiology	http://www.nature.com/articles/srep17893
"A single amino acid change in the para sodium channel protein is associated with knockdown-resistance (kdr) to pyrethroid insecticides in German cockroach. (Dong K. Insect Biochem. Mol. Biol., 27(2):93-100)"	1997		9066120	Genomics	
"Novel sodium channel gene mutations in Blattella germanica reduce the sensitivity of expressed channels to deltamethrin. (Tan J; Liu Z; Tsai TD; Valles SM; Goldin AL; Dong K. Insect Biochem. Mol. Biol., 32(4):445-54)"	2002	10.1016/S0965-1748(01)00122-9	11886779	Electrophysiology	"http://kedonglab.ent.msu.edu/publications/Tan et al., 20002a.pdf"
"Developmental regulation of alternative exon usage in the house fly Vssc1 sodium channel gene. (Lee SH; Ingles PJ; Knipple DC; Soderlund DM. Invert. Neurosci., 4(3):125-33)"	2002	10.1007/s10158-001-0014-1	12488972	Genomics	
"Functional expression of Drosophila para sodium channels. Modulation by the membrane protein TipE and toxin pharmacology. (Warmke JW; Reenan RA; Wang P; Qian S; Arena JP; Wang J; Wunderler D; Liu K; Kaczorowski GJ; Van der Ploeg LH; Ganetzky B; Cohen CJ. J. Gen. Physiol., 110(2):119-33)"	1997	10.1085/jgp.110.2.119	9236205	Electrophysiology	http://jgp.rupress.org/content/110/2/119
"Existence of distinct sodium channel messenger RNAs in rat brain. (Noda M; Ikeda T; Kayano T; Suzuki H; Takeshima H; Kurasaki M; Takahashi H; Numa S. Nature, 320(6058):188-92)"	1986	10.1038/320188a0	3754035	Genomics	
"Functional analysis of the rat I sodium channel in xenopus oocytes. (Smith RD; Goldin AL. J. Neurosci., 18(3):811-20)"	1998		9437003	Electrophysiology	http://www.jneurosci.org/content/18/3/811.long
"Primary structure of rat brain sodium channel III deduced from the cDNA sequence. (Kayano T; Noda M; Flockerzi V; Takahashi H; Numa S. FEBS Lett., 228(1):187-94)"	1988		2449363	Genomics	
"Modulatory effect of auxiliary beta1 subunit on Nav1.3 voltage-gated sodium channel expressed in Xenopus oocyte. (Wang YW; Cheng ZJ; Tan H; Xia YM; Ren RR; Ding YQ. Chin. Med. J., 120(8):721-3)"	2007		17517192	Electrophysiology	http://basic.shsmu.edu.cn/jpkc/renji_mz/attached/20111221/20111221191955200992.pdf
"Voltage-dependent regulation of modal gating in the rat SkM1 sodium channel expressed in Xenopus oocytes. (Ji S; Sun W; George AL; Horn R; Barchi RL. J. Gen. Physiol., 104(4):625-43)"	1994		7836935	Electrophysiology	
"Multiple gating modes and the effect of modulating factors on the microI sodium channel. (Zhou JY; Potts JF; Trimmer JS; Agnew WS; Sigworth FJ. Neuron, 7(5):775-85)"	1991		1660285	Electrophysiology	
"Voltage-dependent sodium channel function is regulated through membrane mechanics. (Shcherbatko A; Ono F; Mandel G; Brehm P. Biophys. J., 77(4):1945-59)"	1999	10.1016/S0006-3495(99)77036-0	10512815	Electrophysiology	http://www.sciencedirect.com/science/article/pii/S0006349599770360
"Functional analysis of the mouse Scn8a sodium channel. (Smith MR; Smith RD; Plummer NW; Meisler MH; Goldin AL. J. Neurosci., 18(16):6093-102)"	1998		9698304	Electrophysiology	http://www.jneurosci.org/content/18/16/6093.long
"Gating properties of Na(v)1.7 and Na(v)1.8 peripheral nerve sodium channels. (Vijayaragavan K; O'Leary ME; Chahine M. J. Neurosci., 21(20):7909-18)"	2001		11588164	Electrophysiology	
"Identification of PN1, a predominant voltage-dependent sodium channel expressed principally in peripheral neurons. (Toledo-Aral JJ; Moss BL; He ZJ; Koszowski AG; Whisenand T; Levinson SR; Wolf JJ; Silos-Santiago I; Halegoua S; Mandel G. Proc. Natl. Acad. Sci. U.S.A., 94(4):1527-32)"	1997		9037087	Genomics	
"Electrophysiological properties of sodium current subtypes in small cells from adult rat dorsal root ganglia. (Rush AM; BrÌ_u ME; Elliott AA; Elliott JR. J. Physiol. (Lond.), 511 ( Pt 3):771-89)"	1998		9714859	Electrophysiology	
"Differential modulation of Nav1.7 and Nav1.8 peripheral nerve sodium channels by the local anesthetic lidocaine. (Chevrier P; Vijayaragavan K; Chahine M. Br. J. Pharmacol., 142(3):576-84)"	2004	10.1038/sj.bjp.0705796	15148257	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1038/sj.bjp.0705796/pdf
"A non-inactivating high-voltage-activated two-pore Na‰ð¼ channel that supports ultra-long action potentials and membrane bistability. (Cang C; Aranda K; Ren D. Nat Commun, 5:5015)"	2014	10.1038/ncomms6015	25256615	Electrophysiology	http://www.nature.com/articles/ncomms6015
"Strong cooperativity between subunits in voltage-gated proton channels. (Gonzalez C; Koch HP; Drum BM; Larsson HP. Nat. Struct. Mol. Biol., 17(1):51-6)"	2010	10.1038/nsmb.1739	20023639	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2935852/
"Panulirus interruptus Ih-channel gene PIIH: modification of channel properties by alternative splicing and role in rhythmic activity. (Ouyang Q; Goeritz M; Harris-Warrick RM. J. Neurophysiol., 97(6):3880-92)"	2007	10.1152/jn.00246.2007	17409170	Electrophysiology	http://jn.physiology.org/content/97/6/3880
"A K(+)-selective CNG channel orchestrates Ca(2+) signalling in zebrafish sperm. (Fechner S; Alvarez L; BÌ¦nigk W; MÌ_ller A; Berger TK; Pascal R; TrÌ¦tschel C; Poetsch A; StÌ¦lting G; Siegfried KR; Kremmer E; Seifert R; Kaupp UB. Elife, 4:None)"	2015	10.7554/eLife.07624	26650356	Electrophysiology	https://elifesciences.org/content/4/e07624
"Impairment of hyperpolarization-activated, cyclic nucleotide-gated channel function by the intravenous general anesthetic propofol. (Cacheaux LP; Topf N; Tibbs GR; Schaefer UR; Levi R; Harrison NL; Abbott GW; Goldstein PA. J. Pharmacol. Exp. Ther., 315(2):517-25)"	2005	10.1124/jpet.105.091801	16033909	Electrophysiology	
"Properties of hyperpolarization-activated pacemaker current defined by coassembly of HCN1 and HCN2 subunits and basal modulation by cyclic nucleotide. (Chen S; Wang J; Siegelbaum SA. J. Gen. Physiol., 117(5):491-504)"	2001	10.1085/jgp.117.5.491	11331358	Electrophysiology	http://jgp.rupress.org/content/117/5/491.long
"PIP2-mediated HCN3 channel gating is crucial for rhythmic burst firing in thalamic intergeniculate leaflet neurons. (Ying SW; Tibbs GR; Picollo A; Abbas SY; Sanford RL; Accardi A; Hofmann F; Ludwig A; Goldstein PA. J. Neurosci., 31(28):10412-23)"	2011	10.1523/JNEUROSCI.0021-11.2011	21753018	Electrophysiology	http://www.jneurosci.org/content/31/28/10412.long
"KCNE2 modulates current amplitudes and activation kinetics of HCN4: influence of KCNE family members on HCN4 currents. (Decher N; Bundis F; Vajna R; Steinmeyer K. Pflugers Arch., 446(6):633-40)"	2003	10.1007/s00424-003-1127-7	12856183	Electrophysiology	
"Reconstitution of functional voltage-gated chloride channels from complementary fragments of CLC-1. (Schmidt-Rose T; Jentsch TJ. J. Biol. Chem., 272(33):20515-21)"	1997	10.1074/jbc.272.33.20515	9252364	Electrophysiology	http://www.jbc.org/content/272/33/20515.long
"Molecular cloning and characterization of a novel truncated from (ClC-2 beta) of ClC-2 alpha (ClC-2G) in rabbit heart. (Furukawa T; Horikawa S; Terai T; Ogura T; Katayama Y; Hiraoka M. FEBS Lett., 375(1-2):56-62)"	1995	10.1016/0014-5793(95)01178-H	7498481	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(95)01178-H/epdf
"Expression of an inward-rectifying potassium channel by the Arabidopsis KAT1 cDNA. (Schachtman DP; Schroeder JI; Lucas WJ; Anderson JA; Gaber RF. Science, 258(5088):1654-8)"	1992	10.1126/science.8966547	8966547	Electrophysiology	
"GORK, a delayed outward rectifier expressed in guard cells of Arabidopsis thaliana, is a K(+)-selective, K(+)-sensing ion channel. (Ache P; Becker D; Ivashikina N; Dietrich P; Roelfsema MR; Hedrich R. FEBS Lett., 486(2):93-8)"	2000	10.1016/S0014-5793(00)02248-1	11113445	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/S0014-5793(00)02248-1/full
"AKT3, a phloem-localized K+ channel, is blocked by protons. (Marten I; Hoth S; Deeken R; Ache P; Ketchum KA; Hoshi T; Hedrich R. Proc. Natl. Acad. Sci. U.S.A., 96(13):7581-6)"	1999		10377458	Electrophysiology	http://www.pnas.org/content/96/13/7581.full
"Activity of guard cell anion channel SLAC1 is controlled by drought-stress signaling kinase-phosphatase pair. (Geiger D; Scherzer S; Mumm P; Stange A; Marten I; Bauer H; Ache P; Matschi S; Liese A; Al-Rasheid KA; Romeis T; Hedrich R. Proc. Natl. Acad. Sci. U.S.A., 106(50):21425-30)"	2009	10.1073/pnas.0912021106	19955405	Electrophysiology	http://www.pnas.org/content/106/50/21425.long
"Stomatal closure by fast abscisic acid signaling is mediated by the guard cell anion channel SLAH3 and the receptor RCAR1. (Geiger D; Maierhofer T; Al-Rasheid KA; Scherzer S; Mumm P; Liese A; Ache P; Wellmann C; Marten I; Grill E; Romeis T; Hedrich R. Sci Signal, 4(173):ra32)"	2011	10.1126/scisignal.2001346	21586729	Electrophysiology	
"K+ transport characteristics of the plasma membrane tandem-pore channel TPK4 and pore chimeras with its vacuolar homologs. (Marcel D; MÌ_ller T; Hedrich R; Geiger D. FEBS Lett., 584(11):2433-9)"	2010	10.1016/j.febslet.2010.04.038	20412800	Electrophysiology	
"A protein kinase, interacting with two calcineurin B-like proteins, regulates K+ transporter AKT1 in Arabidopsis. (Xu J; Li HD; Chen LQ; Wang Y; Liu LL; He L; Wu WH. Cell, 125(7):1347-60)"	2006	10.1016/j.cell.2006.06.011	16814720	Electrophysiology	http://www.cell.com/cell/fulltext/S0092-8674(06)00769-0
"The K+ channel KZM1 mediates potassium uptake into the phloem and guard cells of the C4 grass Zea mays. (Philippar K; BÌ_chsenschutz K; Abshagen M; Fuchs I; Geiger D; Lacombe B; Hedrich R. J. Biol. Chem., 278(19):16973-81)"	2003	10.1074/jbc.M212720200	12611901	Electrophysiology	http://www.jbc.org/content/278/19/16973.long
"Jospin, MaÌÇlle, et al. ""The L-type voltage-dependent Ca2+ channel EGL-19 controls body wall muscle function in Caenorhabditis elegans."" The Journal of cell biology 159.2 (2002): 337-348."	2002	10.1083/jcb.200203055	12391025	Electrophysiology	http://jcb.rupress.org/content/159/2/337.full-text.pdf
